question,reference,start_index,end_index,index_difference
What reason was given for raising the federal minimum wage?,"Raise the federal minimum wage, because every worker has the right to a decent living more than eig- — seven bucks an hour.",34082,34205,123
What enabled the person to help his daughter go to college?,"He’s educated hundreds of students so they can go to college. Now he’s able to help, after debt forgiveness, get his own daughter to college.",21583,21724,141
What is the new amount for credit card late fees announced by the administration?,My administration announced we’re cutting credit card late fees from $32 to $8.,27346,27425,79
What has debt forgiveness enabled Keenan to do for his own daughter?,"He’s educated hundreds of students so they can go to college. Now he’s able to help, after debt forgiveness, get his own daughter to college.",21583,21724,141
"Under the President's tax plan, what is the income threshold below which no one will pay additional federal taxes?","Under my plan, nobody earning less than $400,000 a year will pay an additional penny in federal taxes nobody — not one penny.",23352,23477,125
When did the murder rate and violent crime see significant decreases?,"Last year, the murder rate saw the sharpest decrease in history. Violent crime fell to one of its lowest levels in more than 50 years.",35632,35766,134
What does President Biden identify as the only real solution to the situation in his State of the Union Address?,"As we look to the future, the only real solution to the situation is a two-state solution over time.",41228,41328,100
"How many union jobs are contributing to building a future in Belvidere, America?","4,000 union jobs with higher wages are building a future in Belvidere right here in America.",13039,13131,92
What action did President Biden take on his first day in office regarding immigration?,"Unlike my predecessor, on my first day in office, I introduced a comprehensive bill to fix our immigration system.",31569,31683,114
"How many union jobs with higher wages are contributing to building a future in Belvidere, America?","4,000 union jobs with higher wages are building a future in Belvidere right here in America.",13039,13131,92
What type of mental health crisis did President Biden mention in his address?,A mental health crisis of isolation and loneliness.,7668,7719,
When was President Biden born and what global event was happening at that time?,"I was born amid World War Two, when America stood for the freedom of the world.",45278,45357,
"According to President Biden, who built America and the middle class?","Showing once again Wall Street didn’t build America. They’re not bad guys. They didn’t build it, though. The middle class built the country, and unions built the middle class.",13525,13700,
Why did President Biden become a public defender in Wilmington?,I left a law firm and became a public defender because my city of Wilmington was the only city in America occupied by the National Guard after Dr. King was assassinated because of the riots.,45662,45852,
Which countries and regions did President Biden mention revitalizing partnerships and alliances with in the Pacific?,"I’ve revitalized our partnership and alliance in the Pacific: India, Australia, Japan, South Korea, the Pacific Islands.",42858,42978,
"According to President Biden's plan, what is the income threshold below which no one will pay additional federal taxes?","Under my plan, nobody earning less than $400,000 a year will pay an additional penny in federal taxes nobody — not one penny.",23352,23477,
Which group primarily benefited from the $2 trillion tax cut enacted by the previous administration?,The last administration enacted a $2 trillion tax cut overwhelmingly benefit the top 1 percent — the very wealthy —,22747,22862,
What does President Biden believe about the majority of the House and Senate regarding the endorsement of the bill?,I believe that given the opportunity — for — a majority in the House and Senate would endorse the bill as well — a majority right now.,29359,29493,
"In which years did the proponents of reproductive freedom win elections, according to President Biden, and in which future year do they plan to win again?","When reproductive freedom was on the ballot, we won in 2022 and 2023. And we’ll win again in 2024.",6948,7046,
What has President Biden ensured regarding the manufacturing and labor of federal projects under his administration?,"On my watch, federal projects that you fund — like helping build American roads, bridges, and highways — will be made with American products and built by American workers creating good-paying American jobs.",10132,10338,
"When did the crisis involving a massacre by Hamas begin, and how many innocent people were killed?","crisis began on October 7th with a massacre by a terrorist group called Hamas, as you all know. One thousand two hundred innocent people — women and girls, men and boys — slaughtered after enduring sexual violence.",38338,38552,
What will enable a massive increase in humanitarian assistance getting into Gaza?,A temporary pier will enable a massive increase in the amount of humanitarian assistance getting into Gaza every day.,40690,40807,
How much would raising aires by 25 percent generate over the next decade according to President Biden's speech?,That would raise $500 billion over the next 10 years.,25049,25102,
What does Israel need to do in Gaza according to President Biden's statement?,Israel must allow more aid into Gaza and ensure humanitarian workers aren’t caught in the crossfire.,40843,40943,
What actions did President Biden take on his first day in office regarding the immigration system?,"Unlike my predecessor, on my first day in office, I introduced a comprehensive bill to fix our immigration system. Take a look at it. It has all these and more: secure the border, provide a pathway to citizenship for DREAMers, and so much more.",31569,31813,
What monthly cost cap does President Biden propose for insulin for every American who needs it?,I want to cap the cost of insulin at $35 a month for every American who needs it — everyone.,15400,15492,
Where did President Biden deliver his address and what did he say about the current moment in the Union?,"Tonight, I come to the same chamber to address the nation. Now it’s we who face an unprecedented moment in the history of the Union.",530,662,
How many new housing units are being built nationwide due to reduced red tape and federally provided financing?,"We’ve cut red tape so builders can get federally financing, which is already helping build a record 1.7 million new house u- — housing units nationwide.",18763,18915,
What is the proposed change to Medicare's powers regarding drug prices?,It’s now time to go further and give Medicare the power to negotiate lower prices for 500 different drugs over the next decade.,16028,16155,
Why did President Biden build a coalition of more than a dozen countries?,That’s why I built a coalition of more than a dozen countries to defend international shipping and freedom of navigation in the Red Sea.,41958,42094,
"What event marked the beginning of the crisis mentioned in President Biden's State of the Union Address, and what were its consequences?","This crisis began on October 7th with a massacre by a terrorist group called Hamas, as you all know. One thousand two hundred innocent people — women and girls, men and boys — slaughtered after enduring sexual violence. The deadliest day of the — for the Jewish people since the Holocaust. And 250 hostages taken.",38333,38646,
"What action did President Biden take to address student loans, and how many Americans benefited from it?","When I was told I couldn’t universally just change the way in which we did — dealt with student loans, I fixed two student loan programs that already existed to reduce the burden of student debt for nearly 4 million Americans, including nurses, firefighters and others in public service.",21172,21459,
Why did President Biden build a coalition of more than a dozen countries related to the Middle East?,Creating stability in the Middle East also means containing the threat posed by Iran. That’s why I built a coalition of more than a dozen countries to defend international shipping and freedom of navigation in the Red Sea.,41872,42094,
"What event is referenced as having insurrectionists storm the Capitol, posing a threat to American democracy?",just like history watched three years ago on January 6th when insurrectionists stormed this very Capitol and placed a dagger to the throat of American democracy.,3116,3277,
What major challenges did the United States face just before President Biden took office?,"Four years ago next week, before I came to office, the country was hit by the worst pandemic and the worst economic crisis in a century.",7347,7483,
Who was the first President to stand in the picket line?,"Shawn, I was proud to be the first President to stand in the picket line.",13336,13409,
What is the plan regarding drug prices over the next decade?,to negotiate lower prices for 500 different drugs over the next decade.,16084,16155,
What is the U.S. stance on the situation across the Taiwan Straits as mentioned in President Biden's Address?,We’re standing up for peace and stability across the Taiwan Straits.,42788,42856,
"What type of factory is being built, according to President Biden's address?",a new state-of-the-art battery factory is being built to power those cars there at the same.,12743,12835,
Why is President Biden determined to improve the situation of the middle class according to his speech?,"But I grew up in a home where trickle-down economics didn’t put much on my dad’s kitchen table. That’s why I’m determined to turn things around so the middle class does well. When they do well, the poor have a way up and the wealthy still do very well. We all do well.",14595,14863,
