question,references,corpus_id,worst_ref_score
What significant regulatory changes and proposals has President Biden's administration implemented or announced regarding fees and pricing transparency?,"[{'content': 'My administration announced we’re cutting credit card late fees from $32 to $8.', 'start_index': 27340, 'end_index': 27419}, {'content': 'My administration has proposed rules to make cable, travel, utilities, and online ticket sellers tell you the total price up front so there are no surprises.', 'start_index': 27858, 'end_index': 28015}]",state_of_the_union,
What reasons did President Biden give for the failure of a particular bill's passage?,"[{'content': 'But unfortunately, politics have derailed this bill so far.', 'start_index': 29521, 'end_index': 29580}, {'content': 'I’m told my predecessor called members of Congress in the Senate to demand they block the bill. He feels political win — he viewed it as a — it would be a political win for me and a political loser for him.', 'start_index': 29582, 'end_index': 29788}]",state_of_the_union,
What were the cases discussed by President Biden related to reproductive rights in his State of the Union Address?,"[{'content': 'Fourteen months ago — fourteen months ago, she and her husband welcomed a baby girl thanks to the miracle of IVF. She scheduled treatments to have that second child, but the Alabama Supreme Court shut down IVF treatments across the state, unleashed by a Supreme Court decision overturning Roe v. Wade. She was told her dream would have to wait.', 'start_index': 4700, 'end_index': 5044}, {'content': 'Joining us tonight is Kate Cox, a wife and mother from Dallas. She’d become pregnant again and had a fetus with a fatal condition. Her doctor told Kate that her own life and her ability to have future in the fil- — children in the future were at risk if she didn’t act. Because Texas law banned her ability to act, Kate and her husband had to leave the state to get what she needed.', 'start_index': 5676, 'end_index': 6058}]",state_of_the_union,
How many people are no longer denied health insurance due to preexisting conditions according to President Biden?,"[{'content': 'Over 100 million of you can no longer be denied health insurance because of a preexisting condition.', 'start_index': 16992, 'end_index': 17092}]",state_of_the_union,
"Which country is Putin invading, causing chaos in Europe and beyond?","[{'content': 'Overseas, Putin of Russia is on the march, invading Ukraine and sowing chaos throughout Europe and beyond.', 'start_index': 1037, 'end_index': 1143}]",state_of_the_union,
When did the murder rate experience the sharpest decrease in history and how did violent crime rates change?,"[{'content': 'Last year, the murder rate saw the sharpest decrease in history. Violent crime fell to one of its lowest levels in more than 50 years.', 'start_index': 35616, 'end_index': 35750}]",state_of_the_union,
What is the name of the new health research agency mentioned in President Biden's State of the Union Address that aims to do big things like ending cancer?,"[{'content': 'And we owe it to ourselves to keep supporting our new health research agency called ARPA-H — and remind us — to remind us that we can do big things, like end cancer as we know it. And we will.', 'start_index': 44210, 'end_index': 44402}]",state_of_the_union,
"According to President Biden, what is the current status of China compared to the past decade?","[{'content': 'China is down to the lowest point in over a decade.', 'start_index': 42661, 'end_index': 42712}]",state_of_the_union,
What type of investment is being made by private companies in America according to President Biden's address?,"[{'content': 'Well, instead of having to import them, instead of — private companies are now investing billions of dollars to build new chip factories here in America creating tens of thousands of jobs, many of those jobs paying $100,000 a year and don’t require a college degree.', 'start_index': 10654, 'end_index': 10920}]",state_of_the_union,
"At what age did President Biden get elected to the United States Senate, and was it planned?","[{'content': 'I got elected to the United States Senate when I had no intention of running, at age 29.', 'start_index': 45899, 'end_index': 45987}]",state_of_the_union,
What does President Biden refuse to do regarding the events of January 6th?,"[{'content': 'My predecessor and some of you here seek to bury the truth about January 6th. I will not do that.', 'start_index': 3784, 'end_index': 3881}]",state_of_the_union,
What types of professionals and methods did President Biden mention investing in to address community safety?,"[{'content': 'invest in more community police officers, more mental health workers, more community violence intervention.', 'start_index': 35803, 'end_index': 35910}]",state_of_the_union,
What was President Biden's intention when he came into office?,"[{'content': 'I came to office determined to get us through one of the toughest periods in the nation’s history. We have.', 'start_index': 7908, 'end_index': 8015}]",state_of_the_union,
